date,index_name,value
1985-01-02,All Share Price Index,96.09
1985-01-03,All Share Price Index,96.08
1985-01-04,All Share Price Index,96.05
1985-01-07,All Share Price Index,96.18
1985-01-08,All Share Price Index,96.34
1985-01-09,All Share Price Index,96.34
1985-01-10,All Share Price Index,96.32
1985-01-11,All Share Price Index,96.32
1985-01-15,All Share Price Index,96.27
1985-01-16,All Share Price Index,96.27
1985-01-17,All Share Price Index,96.27
1985-01-18,All Share Price Index,97.04
1985-01-21,All Share Price Index,97.08
1985-01-22,All Share Price Index,96.95
1985-01-23,All Share Price Index,96.91
1985-01-24,All Share Price Index,96.75
1985-01-25,All Share Price Index,96.74
1985-01-28,All Share Price Index,96.72
1985-01-29,All Share Price Index,96.87
1985-01-30,All Share Price Index,96.87
1985-01-31,All Share Price Index,96.71
1985-02-01,All Share Price Index,96.68
1985-02-06,All Share Price Index,96.7
1985-02-07,All Share Price Index,96.71
1985-02-08,All Share Price Index,99.05
1985-02-11,All Share Price Index,99.09
1985-02-12,All Share Price Index,99.1
1985-02-13,All Share Price Index,99.1
1985-02-14,All Share Price Index,98.99
1985-02-15,All Share Price Index,99.19
1985-02-18,All Share Price Index,99.4
1985-02-19,All Share Price Index,99.4
1985-02-20,All Share Price Index,99.58
1985-02-21,All Share Price Index,99.71
1985-02-22,All Share Price Index,99.77
1985-02-25,All Share Price Index,100.44
1985-02-26,All Share Price Index,100.9
1985-02-27,All Share Price Index,101.4
1985-02-28,All Share Price Index,101.48
1985-03-01,All Share Price Index,101.47
1985-03-04,All Share Price Index,101.56
1985-03-05,All Share Price Index,101.63
1985-03-07,All Share Price Index,101.53
1985-03-08,All Share Price Index,102.58
1985-03-11,All Share Price Index,103.05
1985-03-12,All Share Price Index,103.07
1985-03-13,All Share Price Index,103.18
1985-03-14,All Share Price Index,102.74
1985-03-15,All Share Price Index,102.88
1985-03-18,All Share Price Index,102.32
1985-03-19,All Share Price Index,103.9
1985-03-20,All Share Price Index,104.7
1985-03-21,All Share Price Index,106.37
1985-03-22,All Share Price Index,102.32
1985-03-25,All Share Price Index,103.52
1985-03-26,All Share Price Index,103.94
1985-03-27,All Share Price Index,104.11
1985-03-28,All Share Price Index,104.51
1985-03-29,All Share Price Index,105.04
1985-04-01,All Share Price Index,105.4
1985-04-02,All Share Price Index,105.98
1985-04-03,All Share Price Index,105.79
1985-04-08,All Share Price Index,105.69
1985-04-09,All Share Price Index,106.22
1985-04-10,All Share Price Index,106.28
1985-04-15,All Share Price Index,106.23
1985-04-16,All Share Price Index,106.23
1985-04-17,All Share Price Index,106.2
1985-04-18,All Share Price Index,113.3
1985-04-19,All Share Price Index,113.27
1985-04-22,All Share Price Index,113.27
1985-04-23,All Share Price Index,106.13
1985-04-24,All Share Price Index,105.74
1985-04-25,All Share Price Index,105.78
1985-04-26,All Share Price Index,105.34
1985-04-29,All Share Price Index,105.39
1985-04-30,All Share Price Index,105.98
1985-05-02,All Share Price Index,106.02
1985-05-03,All Share Price Index,106.11
1985-05-07,All Share Price Index,106.05
1985-05-08,All Share Price Index,105.83
1985-05-09,All Share Price Index,105.44
1985-05-10,All Share Price Index,104.73
1985-05-13,All Share Price Index,104.63
1985-05-14,All Share Price Index,104.59
1985-05-15,All Share Price Index,104.83
1985-05-16,All Share Price Index,104.68
1985-05-17,All Share Price Index,104.73
1985-05-20,All Share Price Index,104.48
1985-05-21,All Share Price Index,104.49
1985-05-23,All Share Price Index,104.39
1985-05-24,All Share Price Index,104.4
1985-05-27,All Share Price Index,104.39
1985-05-28,All Share Price Index,104.44
1985-05-29,All Share Price Index,104.08
1985-05-30,All Share Price Index,103.82
1985-05-31,All Share Price Index,103.5
1985-06-03,All Share Price Index,103.44
1985-06-04,All Share Price Index,103.11
1985-06-05,All Share Price Index,103.03
1985-06-06,All Share Price Index,103.36
1985-06-07,All Share Price Index,103.34
1985-06-10,All Share Price Index,103.26
1985-06-11,All Share Price Index,103.46
1985-06-12,All Share Price Index,103.58
1985-06-13,All Share Price Index,103.63
1985-06-14,All Share Price Index,103.19
1985-06-17,All Share Price Index,103.34
1985-06-18,All Share Price Index,103.35
1985-06-19,All Share Price Index,103.23
1985-06-20,All Share Price Index,103.23
1985-06-21,All Share Price Index,103.13
