ticker,ex_date,dividend_rate,car,n_valid_days
LITE,2020-12-21,1.0,-0.04396446006939292,5
CARG,2020-12-15,1.9,0.0005817030722871097,5
CTHR,2020-12-16,1.45,0.018375656768796045,4
CARS,2020-12-21,0.75,0.038188658178285206,5
RIL,2020-12-22,0.1,-0.0553678783690259,5
AUTO,2020-12-24,0.3,-0.05687899636613081,5
VLL,2021-01-04,0.1,-0.0440104244010715,5
UML,2021-01-05,1.5,-0.0731010154133912,6
BUKI,2021-01-07,0.6,-0.1181072858768516,8
LPRT,2021-01-19,2.25,-0.263519268572484,10
DIMO,2021-01-18,2.5,-0.13709888725101582,11
LFIN,2021-02-02,12.0,0.057650948131090396,11
HPL,2021-02-09,0.5,-0.012107142365310963,11
JKH,2021-02-09,0.5,0.06951764956831263,11
BPPL,2021-02-10,0.24,-0.04812166538385332,11
CERA,2021-02-11,1.3,-0.20906659953290363,11
KFP,2021-02-12,7.0,0.08575916360071034,11
CCS,2021-02-15,8.5,0.034413049000531326,11
VPEL,2021-02-16,0.3,-0.004979748469627676,11
PAP,2021-02-16,0.12,0.046626742407774424,11
GRAN,2021-02-16,9.0,-0.14755218327191488,11
TAFL,2021-02-16,11.0,-0.06225720032653215,11
SUN,2021-02-16,1.0,-0.08861880991798232,11
CARE,2021-02-17,1.0,-0.014958724596874973,11
TILE,2021-02-23,12.3,-0.1682845040608778,11
PARQ,2021-02-23,4.1,-0.13147061071363375,11
LWL,2021-02-23,10.0,-0.20462112939345567,11
RCL,2021-02-23,11.0,-0.23452271102136957,11
TJL,2021-02-23,1.65,0.049339946028372994,11
CTC,2021-05-28,11.35,-0.19278167873037844,11
SAMP,2021-03-31,2.75,-0.07123393427787428,11
NDB,2021-03-02,1.5,0.0059041794154395255,11
HNB,2021-03-31,4.5,-0.06573903622778199,11
HNB,2021-03-31,4.5,-0.06573903622778199,11
HASU,2021-04-01,2.8,-0.1840629233835973,11
DIAL,2021-06-25,0.74,-0.2134412311426661,11
VONE,2021-03-04,0.5,0.030135726960336617,11
CSD,2021-03-31,1.2,0.15870252087945946,11
COMD,2021-04-01,3.5,0.22529673844790188,11
COMB,2021-03-31,4.5,-0.18861230593500966,11
COMB,2021-03-31,4.5,-0.18861230593500966,11
NTB,2021-03-09,2.0,-0.008256035876806234,11
NTB,2021-03-09,2.0,-0.008256035876806234,11
LLUB,2021-03-09,2.0,-0.03131685183166477,11
HAYC,2021-03-17,1.4,-0.015325785659400237,11
MGT,2021-03-17,0.25,-0.04950923879128577,11
DIPD,2021-03-17,1.0,-0.03946386584244177,11
HEXP,2021-03-17,0.25,0.033119972784038776,11
KVAL,2021-03-17,1.0,-0.06557402989474281,11
HPFL,2021-03-19,1.0,-0.15858175998243895,11
CIC,2021-03-19,1.0,-0.03816235879961105,11
CIC,2021-03-19,1.0,-0.03816235879961105,11
AAIC,2021-03-24,2.5,-0.055779553164593265,11
SLTL,2021-04-27,1.49,0.2851721136075325,11
SINS,2021-03-23,0.3,-0.017849080106751014,11
ALUM,2021-03-23,0.4,0.02725151761925315,11
COLO,2021-03-23,5.0,-0.0650464655577524,11
ASIY,2021-03-23,0.08,0.01208349001132314,11
TSML,2021-03-24,1.5,0.07646127726113194,7
JKL,2021-03-25,1.0,-0.034057092380979426,9
ETWO,2021-03-26,0.65,-0.0849018366852099,6
AMSL,2021-03-26,0.6,0.20312759447628426,11
ASIR,2021-03-26,0.8,0.29716720178514167,11
LHCL,2021-03-31,0.75,0.2933718915531254,11
REXP,2021-04-05,25.0,0.0401045786686568,10
NAMU,2021-04-06,8.5,0.6343355307341676,10
KGAL,2021-04-06,4.0,-0.006275349224283078,10
REG,2021-04-07,2.6,0.26728641151477595,10
CFVF,2021-04-07,5.0,-0.1902082756071164,11
HAYL,2021-04-08,1.0,0.10409578552754073,10
MCPL,2021-04-08,0.75,0.028282172489128676,9
RICH,2021-04-08,0.5,-0.012312816378695302,10
UAL,2021-04-09,14.0,-0.05803207288840395,11
UBC,2021-04-12,0.13,0.1270677591678594,11
LITE,2021-04-15,1.0,0.2195052725742257,11
BFL,2021-04-15,3.0,-0.012913499831750275,10
AGST,2021-07-01,0.2,0.05367105726825627,10
AGST,2021-07-01,0.2,0.05367105726825627,10
GRAN,2021-04-21,4.5,-0.009866011479872316,11
TAFL,2021-04-21,5.5,0.008804354369937983,10
UCAR,2021-06-11,14.0,0.1914391582193441,8
SDB,2021-05-31,2.25,-0.2709217546487903,11
PDL,2021-06-10,3.5,0.33752394704705624,8
PINS,2021-06-29,3.0,0.2325143836987945,11
ALUM,2021-06-30,0.1,0.47464653852729066,11
MGT,2021-06-29,0.1,-0.013740663904831418,10
VLL,2021-05-21,0.125,0.35579648803491526,11
HEXP,2021-06-30,1.75,-0.07361722245435853,10
KVAL,2021-06-28,1.5,-0.009260203601624273,10
LLUB,2021-05-24,5.0,0.22401432976575075,11
TPL,2021-06-28,1.5,0.3798948646662317,11
SINS,2021-05-28,0.25,0.2778373646744987,11
CHL,2021-05-28,3.2,0.11707123223347016,9
CHL,2021-05-28,3.2,0.11707123223347016,9
GLAS,2021-07-26,0.58,0.09180887929166925,10
CTC,2021-05-28,19.0,-0.19278167873037844,11
DIPD,2021-06-30,0.6,0.008157779939550469,11
CCS,2021-05-31,4.0,-0.19571361754333305,10
KFP,2021-05-31,2.5,-0.1303138613797421,11
AEL,2021-06-01,0.5,-0.06272832837505693,10
HAYC,2021-06-28,0.5,-0.30214594215911417,11
LIOC,2021-11-30,0.85,-0.11881729013370546,10
CERA,2021-07-01,0.9,0.33702761435883555,9
CIC,2021-07-01,1.25,0.2039828539705778,11
CIC,2021-07-01,1.25,0.2039828539705778,11
JKL,2021-06-03,2.29,0.0022042726071968,9
HHL,2021-07-01,1.45,-0.1937553774018982,11
CHMX,2021-07-01,1.0,0.1140581090228745,11
SPEN,2021-07-01,1.0,0.4483156275438208,11
WATA,2021-06-28,3.0,0.2650362961999184,10
JKH,2021-06-04,0.5,-0.022480623132354327,11
SUN,2021-06-28,0.5,0.25415030546771245,6
CFIN,2021-07-01,2.3,0.08128324135893283,11
SIL,2021-06-08,2.0,-0.09446279515007494,8
PARQ,2021-06-08,1.05,0.025873219766056388,7
LWL,2021-06-08,3.1,-0.3663599992210501,8
TILE,2021-06-08,2.2,-0.41025128067184524,8
DIMO,2021-06-09,12.5,0.5429995512261598,11
RCL,2021-06-09,1.2,-0.06785911262585198,10
CIND,2021-07-20,2.0,-0.08945988554920492,10
VONE,2021-06-10,1.0,0.10766282053470422,10
UML,2021-07-28,1.0,-0.03905062264517756,10
VFIN,2021-06-14,6.0,-0.02343001178237214,10
LFIN,2021-07-01,4.0,0.38058679593808353,11
ALLI,2021-07-05,5.5,0.3940494149235414,10
WIND,2021-06-14,0.75,0.062087234182832796,5
CARG,2021-06-30,4.1,-0.1702560908190467,11
CTHR,2021-07-02,2.9,-0.04993100139378781,9
CTBL,2021-06-21,0.35,0.35526471832805806,11
SFIN,2021-06-21,0.8,0.3133354805778473,11
JINS,2021-07-06,2.0,0.01752381170661388,11
DIST,2021-06-22,0.7,-0.15615553624629475,11
MELS,2021-06-23,2.75,0.36136200111589445,11
EXPO,2021-07-01,1.17,-0.062120586160484104,10
CDB,2021-08-02,7.5,-0.0851380373554751,8
CDB,2021-08-02,7.5,-0.0851380373554751,8
TKYO,2021-07-02,1.25,-0.2084276364842198,11
TKYO,2021-07-02,1.25,-0.2084276364842198,11
AGST,2021-07-16,0.2,0.05367105726825627,10
AGST,2021-07-16,0.2,0.05367105726825627,10
CWM,2021-08-19,7.0,-0.017437215307798848,9
LION,2021-07-07,14.4,-0.06917541945501537,8
RIL,2021-08-02,0.15,0.02125157467488825,10
PLR,2021-07-09,0.4,-0.051629772467668644,5
HPL,2021-07-09,0.5,-0.12290521398167609,9
PAP,2021-07-09,0.14,-0.034318752190475976,10
CARE,2021-07-09,1.0,-0.1220710846609866,8
MAL,2021-07-30,0.1,0.026201210203507297,9
MAL,2021-07-30,0.1,0.026201210203507297,9
TKYO,2021-08-26,0.85,-0.2084276364842198,11
TKYO,2021-08-26,0.85,-0.2084276364842198,11
SFCL,2021-09-02,1.16,-0.0462942138499306,5
TJL,2021-08-24,1.15,0.159553523869725,11
ASHO,2021-09-21,2.0,-0.15951851354804247,8
MCPL,2021-09-28,1.5,0.028282172489128676,9
SHAW,2021-09-28,1.0,0.2637562327490349,11
LMF,2021-10-01,5.0,-0.05559524101415858,10
HUNT,2021-11-08,10.0,0.21424354568581594,9
CARS,2021-09-17,1.5,0.026211526308830058,10
ALUM,2021-10-08,0.1,0.47464653852729066,11
DIPD,2021-10-08,0.95,0.008157779939550469,11
MGT,2021-10-08,0.4,-0.013740663904831418,10
HEXP,2021-10-11,1.0,-0.07361722245435853,10
KVAL,2021-10-11,0.7,-0.009260203601624273,10
LHCL,2021-10-12,1.0,0.28676196465744974,11
LPRT,2021-11-01,1.75,0.14617463186047186,7
EBCR,2021-11-12,1.0,-0.1740684953591184,11
UCAR,2021-10-22,15.0,0.1914391582193441,8
HHL,2021-10-28,2.9,-0.1937553774018982,11
CIC,2021-11-02,1.0,0.2039828539705778,11
CIC,2021-11-02,1.0,0.2039828539705778,11
BFL,2021-11-03,3.0,-0.012913499831750275,10
RICH,2021-11-05,0.6,-0.012312816378695302,10
APLA,2021-11-08,10.0,0.07814765938477009,10
LLUB,2021-11-09,4.0,0.22401432976575075,11
PARQ,2021-11-09,0.8,0.025873219766056388,7
LWL,2021-11-10,3.1,-0.3663599992210501,8
TILE,2021-11-10,3.0,-0.41025128067184524,8
JKH,2021-11-12,0.5,-0.022480623132354327,11
RCL,2021-11-12,1.5,-0.06785911262585198,10
AMSL,2021-11-16,1.2,0.3826299467444694,11
ASIR,2021-11-16,1.3,0.5579658391636317,11
HPFL,2021-11-19,1.0,0.05605147943374833,11
LION,2021-11-19,3.68,-0.06917541945501537,8
CTC,2021-11-22,15.0,-0.19278167873037844,11
DIST,2021-11-22,0.86,-0.15615553624629475,11
MELS,2021-11-22,2.7,0.36136200111589445,11
WATA,2021-11-22,6.0,0.2650362961999184,10
GLAS,2021-11-23,0.25,0.09180887929166925,10
SUN,2021-11-23,0.5,0.25415030546771245,6
VLL,2021-11-26,0.18,0.35579648803491526,11
VLL,2021-11-26,0.18,0.35579648803491526,11
COMD,2021-11-29,2.5,0.22529673844790188,11
ASIY,2021-11-30,0.1,0.2862615848769192,11
CARG,2021-11-30,2.0,-0.1702560908190467,11
CTHR,2021-11-30,1.55,-0.04993100139378781,9
PACK,2021-11-30,0.2,-0.03773983615464094,5
JAT,2021-12-02,0.32,0.051189836802857824,5
BREW,2021-12-07,6.31,-0.014129391643491251,5
CTEA,2021-12-10,15.0,0.332958981201799,10
CFIN,2021-12-13,1.5,0.08128324135893283,11
VONE,2021-12-15,1.5,0.10766282053470422,10
WIND,2021-12-15,0.55,0.062087234182832796,5
TPL,2021-12-29,0.65,0.3798948646662317,11
MGT,2022-01-06,0.4,-0.06053160658433421,10
HAYC,2022-01-07,0.75,-0.3286300039031441,11
KVAL,2022-01-07,0.25,-0.017778719688373745,10
SINS,2022-01-07,0.35,0.4231040064487057,11
ALUM,2022-01-10,0.2,0.44955253691155794,11
DIPD,2022-01-10,0.45,-0.028100222131806962,11
HEXP,2022-01-10,0.75,-0.07357093158825012,10
CARE,2022-01-25,4.0,-0.10344246797327561,11
LFIN,2022-01-27,3.0,-0.1219696966296494,11
LHCL,2022-02-01,1.0,0.11467568657449057,11
JAT,2022-02-07,0.25,0.021024066625796145,11
JKH,2022-02-07,0.5,0.0048107541064291715,11
ONAL,2022-02-07,2.1,-0.061714836350605706,11
VPEL,2022-02-22,0.35,-0.019876329268740833,11
BPPL,2022-02-23,0.24,0.003448521940932703,11
COLO,2022-02-23,5.0,-0.12519177908122237,11
GLAS,2022-02-25,0.25,-0.08895484186935121,11
COCR,2022-02-28,1.0,-0.14523193742190144,11
TJL,2022-02-28,0.85,0.042478682186051775,11
SAMP,2022-03-31,4.25,-0.2348198977266147,11
HASU,2022-04-01,3.2,0.10254228321713688,11
HNB,2022-03-31,6.5,-0.3413978716188165,11
HNB,2022-03-31,6.5,-0.3413978716188165,11
NEST,2022-06-10,35.0,0.08407881543238083,10
LITE,2022-03-04,0.75,0.02911936684630445,11
CSD,2022-03-31,1.4,-0.23754034248308653,11
OSEA,2022-04-28,1.25,0.02114752484477167,11
GRAN,2022-03-08,6.0,-0.19401051910141953,11
TAFL,2022-03-08,10.0,-0.16321301819139433,11
EBCR,2022-03-09,0.5,0.01855922100121654,11
LLUB,2022-03-09,2.0,-0.06386444103496602,11
COMB,2022-03-31,4.5,-0.1990739985320018,11
COMB,2022-03-31,4.5,-0.1990739985320018,11
COMD,2022-04-01,4.0,-0.10117900268029956,10
KFP,2022-03-10,7.0,0.07826290518652046,11
PARQ,2022-03-10,1.0,-0.2012997347620119,11
