date,transaction_type,investor_type,value
1992-01-01,net,Foreign Companies,7127694.0
1992-02-01,net,Foreign Companies,121775311.0
1992-03-01,net,Foreign Companies,92504173.0
1992-04-01,net,Foreign Companies,19265202.0
1992-05-01,net,Foreign Companies,-108487964.0
1992-06-01,net,Foreign Companies,-10478799.0
1992-07-01,net,Foreign Companies,120084538.0
1992-08-01,net,Foreign Companies,73109681.0
1992-09-01,net,Foreign Companies,34312414.0
1992-10-01,net,Foreign Companies,118330616.0
1992-11-01,net,Foreign Companies,60150565.0
1992-12-01,net,Foreign Companies,52934906.0
1993-01-01,net,Foreign Companies,88243280.0
1993-02-01,net,Foreign Companies,68436470.0
1993-03-01,net,Foreign Companies,167003899.0
1993-04-01,net,Foreign Companies,159548279.0
1993-05-01,net,Foreign Companies,755936357.0
1993-06-01,net,Foreign Companies,274627640.0
1993-07-01,net,Foreign Companies,406403149.0
1993-08-01,net,Foreign Companies,-174308542.0
1993-09-01,net,Foreign Companies,575093020.0
1993-10-01,net,Foreign Companies,441001207.0
1993-11-01,net,Foreign Companies,808712253.0
1993-12-01,net,Foreign Companies,397516531.0
1994-01-01,net,Foreign Companies,1372226151.0
1994-02-01,net,Foreign Companies,430002380.0
1994-03-01,net,Foreign Companies,-546604797.0
1994-04-01,net,Foreign Companies,-96753783.0
1994-05-01,net,Foreign Companies,107799550.0
1994-06-01,net,Foreign Companies,392757915.0
1994-07-01,net,Foreign Companies,145893883.0
1994-08-01,net,Foreign Companies,204315768.0
1994-09-01,net,Foreign Companies,163199737.0
1994-10-01,net,Foreign Companies,-106985288.0
1994-11-01,net,Foreign Companies,-310013526.0
1994-12-01,net,Foreign Companies,-336898820.0
1995-01-01,net,Foreign Companies,-239995285.0
1995-02-01,net,Foreign Companies,-152018008.0
1995-03-01,net,Foreign Companies,-207146529.0
1995-04-01,net,Foreign Companies,-34811388.0
1995-05-01,net,Foreign Companies,-79765230.0
1995-06-01,net,Foreign Companies,186438367.0
1995-07-01,net,Foreign Companies,238569650.0
1995-08-01,net,Foreign Companies,11960615.0
1995-09-01,net,Foreign Companies,168622715.0
1995-10-01,net,Foreign Companies,72870425.0
1995-11-01,net,Foreign Companies,60758808.0
1995-12-01,net,Foreign Companies,-137753488.0
1996-01-01,net,Foreign Companies,62426324.0
1996-02-01,net,Foreign Companies,433792270.0
1996-03-01,net,Foreign Companies,74585673.0
1996-04-01,net,Foreign Companies,-84414685.0
1996-05-01,net,Foreign Companies,-12023251.0
1996-06-01,net,Foreign Companies,12859475.0
1996-07-01,net,Foreign Companies,25554972.0
1996-08-01,net,Foreign Companies,-27121422.0
1996-09-01,net,Foreign Companies,14664400.0
1996-10-01,net,Foreign Companies,-150005463.0
1996-11-01,net,Foreign Companies,40795034.0
1996-12-01,net,Foreign Companies,-38599614.0
1997-01-01,net,Foreign Companies,-18762974.0
1997-02-01,net,Foreign Companies,74283792.0
1997-03-01,net,Foreign Companies,20932521.0
1997-04-01,net,Foreign Companies,124225450.0
1997-05-01,net,Foreign Companies,451478546.0
1997-06-01,net,Foreign Companies,754539919.0
1997-07-01,net,Foreign Companies,77272383.0
1997-08-01,net,Foreign Companies,-111557508.0
1997-09-01,net,Foreign Companies,-136882415.0
1997-10-01,net,Foreign Companies,-149067499.0
1997-11-01,net,Foreign Companies,-240132310.0
1997-12-01,net,Foreign Companies,-247405972.0
1998-01-01,net,Foreign Companies,-91624601.0
1998-02-01,net,Foreign Companies,-112981805.0
1998-03-01,net,Foreign Companies,63878480.0
1998-04-01,net,Foreign Companies,-37764746.0
1998-05-01,net,Foreign Companies,-423885235.0
1998-06-01,net,Foreign Companies,-577681519.0
1998-07-01,net,Foreign Companies,22229190.0
1998-08-01,net,Foreign Companies,-163473712.0
1998-09-01,net,Foreign Companies,-197347228.0
1998-10-01,net,Foreign Companies,-65542602.0
1998-11-01,net,Foreign Companies,158094066.0
1998-12-01,net,Foreign Companies,-82404647.0
1999-01-01,net,Foreign Companies,-307401938.0
1999-02-01,net,Foreign Companies,-126090745.0
1999-03-01,net,Foreign Companies,-231350595.0
1999-04-01,net,Foreign Companies,-126594004.0
1999-05-01,net,Foreign Companies,-51355263.0
1999-06-01,net,Foreign Companies,-186665660.0
1999-07-01,net,Foreign Companies,161516349.0
1999-08-01,net,Foreign Companies,282762961.0
1999-09-01,net,Foreign Companies,-315001054.0
1999-10-01,net,Foreign Companies,-261258544.0
1999-11-01,net,Foreign Companies,57406080.0
1999-12-01,net,Foreign Companies,-272341460.0
2000-01-01,net,Foreign Companies,-180652148.0
2000-02-01,net,Foreign Companies,-494105161.0
2000-03-01,net,Foreign Companies,-618545114.0
2000-04-01,net,Foreign Companies,-156768175.0
2000-05-01,net,Foreign Companies,-240053935.0
