date,sector,market_cap
2020-01-01,Automobiles & Components,3545640000.0
2020-02-01,Automobiles & Components,3031080000.0
2020-03-01,Automobiles & Components,2661240000.0
2020-05-01,Automobiles & Components,3207960000.0
2020-06-01,Automobiles & Components,3392880000.0
2020-07-01,Automobiles & Components,3730560000.0
2020-08-01,Automobiles & Components,5137560000.0
2020-09-01,Automobiles & Components,6399840000.0
2020-10-01,Automobiles & Components,6407880000.0
2020-11-01,Automobiles & Components,7541520000.0
2020-12-01,Automobiles & Components,6954600000.0
2021-01-01,Automobiles & Components,7573680000.0
2021-02-01,Automobiles & Components,6343560000.0
2021-03-01,Automobiles & Components,6271200000.0
2021-04-01,Automobiles & Components,6753600000.0
2021-05-01,Automobiles & Components,6834000000.0
2021-06-01,Automobiles & Components,6777720000.0
2021-07-01,Automobiles & Components,7638000000.0
2021-08-01,Automobiles & Components,6705360000.0
2021-09-01,Automobiles & Components,6834000000.0
2021-10-01,Automobiles & Components,7927440000.0
2021-11-01,Automobiles & Components,7927440000.0
2021-12-01,Automobiles & Components,7927440000.0
2022-01-01,Automobiles & Components,5182519680.0
2022-02-01,Automobiles & Components,6882240000.0
2022-03-01,Automobiles & Components,4655160000.0
2022-04-01,Automobiles & Components,3674280000.0
2022-05-01,Automobiles & Components,4100400000.0
2022-06-01,Automobiles & Components,3650160000.0
2022-07-01,Automobiles & Components,3819000000.0
2022-08-01,Automobiles & Components,5459160000.0
2022-09-01,Automobiles & Components,5459160000.0
2022-10-01,Automobiles & Components,5402880000.0
2022-11-01,Automobiles & Components,4824000000.0
2022-12-01,Automobiles & Components,4663200000.0
2023-01-01,Automobiles & Components,4703400000.0
2023-02-01,Automobiles & Components,4703400000.0
2023-03-01,Automobiles & Components,4775760000.0
2023-04-01,Automobiles & Components,4639080000.0
2023-05-01,Automobiles & Components,4422000000.0
2023-06-01,Automobiles & Components,4960680000.0
2023-07-01,Automobiles & Components,5499360000.0
2023-08-01,Automobiles & Components,5362680000.0
2023-09-01,Automobiles & Components,5386800000.0
2023-10-01,Automobiles & Components,5137560000.0
2023-11-01,Automobiles & Components,5145600000.0
2023-12-01,Automobiles & Components,5105400000.0
2024-01-01,Automobiles & Components,4984800000.0
2024-02-01,Automobiles & Components,5242080000.0
2024-03-01,Automobiles & Components,5628000000.0
2024-04-01,Automobiles & Components,5901360000.0
2024-05-01,Automobiles & Components,6271200000.0
2024-06-01,Automobiles & Components,6271200000.0
2024-07-01,Automobiles & Components,5748600000.0
2024-08-01,Automobiles & Components,5748600000.0
2024-09-01,Automobiles & Components,5909400000.0
2024-10-01,Automobiles & Components,5965680000.0
2024-11-01,Automobiles & Components,6070200000.0
2024-12-01,Automobiles & Components,6713400000.0
2025-01-01,Automobiles & Components,6906360000.0
2025-02-01,Automobiles & Components,6448080000.0
2025-03-01,Automobiles & Components,6504360000.0
2025-04-01,Automobiles & Components,6464160000.0
2025-05-01,Automobiles & Components,6874200000.0
2025-06-01,Automobiles & Components,7187760000.0
2025-07-01,Automobiles & Components,8301300000.0
2025-08-01,Automobiles & Components,7879200000.0
2025-09-01,Automobiles & Components,7629960000.0
2025-10-01,Automobiles & Components,7396800000.0
2025-11-01,Automobiles & Components,7332480000.0
2025-12-01,Automobiles & Components,7203840000.0
2020-01-01,Banks,352989476976.3
2020-02-01,Banks,333408522550.3
2020-03-01,Banks,246449942294.4
2020-05-01,Banks,254499956911.2
2020-06-01,Banks,289288156985.4
2020-07-01,Banks,277858904941.1
2020-08-01,Banks,297575310163.4
2020-09-01,Banks,309830782595.7
2020-10-01,Banks,291785067659.2
2020-11-01,Banks,302292483850.3
2020-12-01,Banks,318887100149.5
2021-01-01,Banks,402926249052.9
2021-02-01,Banks,343493457641.85
2021-03-01,Banks,338241165177.2
2021-04-01,Banks,333431643891.0
2021-05-01,Banks,352984267008.1
2021-06-01,Banks,354836753505.45
2021-07-01,Banks,347315269975.65
2021-08-01,Banks,356944692238.55
2021-09-01,Banks,355703173020.15
2021-10-01,Banks,343540583741.45
2021-11-01,Banks,343540583741.45
2021-12-01,Banks,343540583741.45
2022-01-01,Banks,284978603991.92
2022-02-01,Banks,345043724985.1
2022-03-01,Banks,286500015806.51
2022-04-01,Banks,239378479600.56
2022-05-01,Banks,228647826630.24
2022-06-01,Banks,211800705941.74
2022-07-01,Banks,218742207014.74
2022-08-01,Banks,249719609687.9
2022-09-01,Banks,249719609687.9
2022-10-01,Banks,224028206716.6
2022-11-01,Banks,225696024634.6
2022-12-01,Banks,219847840003.0
2023-01-01,Banks,289886577141.5
2023-02-01,Banks,289886577141.5
2023-03-01,Banks,313279961162.6
2023-04-01,Banks,285419062526.95
2023-05-01,Banks,285791802894.75
2023-06-01,Banks,338022687886.2
2023-07-01,Banks,470862320595.9
2023-08-01,Banks,449194098041.2
2023-09-01,Banks,462710840402.85
2023-10-01,Banks,427554572508.15
2023-11-01,Banks,438471222556.15
2023-12-01,Banks,455379874416.45
2024-01-01,Banks,431798519651.95
2024-02-01,Banks,443278056465.45
2024-03-01,Banks,487211354808.9
2024-04-01,Banks,546740041503.35
2024-05-01,Banks,528966635285.6
2024-06-01,Banks,528966635285.6
2024-07-01,Banks,471301633058.6
2024-08-01,Banks,471301633058.6
2024-09-01,Banks,545205665484.15
2024-10-01,Banks,616229417876.75
2024-11-01,Banks,645191125906.35
2024-12-01,Banks,805912287235.25
2025-01-01,Banks,855819422651.75
2025-02-01,Banks,828553985331.5
2025-03-01,Banks,802069678094.95
2025-04-01,Banks,756466860194.2
2025-05-01,Banks,808373603104.1
2025-06-01,Banks,872347868498.2
2025-07-01,Banks,962425874235.95
2025-08-01,Banks,1059315910382.85
2025-09-01,Banks,1070504637840.25
2025-10-01,Banks,1099549205826.15
2025-11-01,Banks,1110509398259.35
2025-12-01,Banks,1088258687988.8
2005-01-01,"Banks, Finance & Insurance",68032097743.25
2005-02-01,"Banks, Finance & Insurance",71335487786.5
2005-03-01,"Banks, Finance & Insurance",77369417490.75
2005-04-01,"Banks, Finance & Insurance",81637098598.5
2005-05-01,"Banks, Finance & Insurance",85512982981.75
2005-06-01,"Banks, Finance & Insurance",84510338308.75
2005-07-01,"Banks, Finance & Insurance",86180774883.25
2005-08-01,"Banks, Finance & Insurance",92816044735.75
2005-09-01,"Banks, Finance & Insurance",103785638907.75
2005-10-01,"Banks, Finance & Insurance",112303872147.75
2005-11-01,"Banks, Finance & Insurance",105392509532.25
2005-12-01,"Banks, Finance & Insurance",91673580069.75
2006-01-01,"Banks, Finance & Insurance",100559188970.0
2006-02-01,"Banks, Finance & Insurance",104830534313.0
2006-03-01,"Banks, Finance & Insurance",106320464241.0
2006-04-01,"Banks, Finance & Insurance",105238902261.5
2006-05-01,"Banks, Finance & Insurance",103076834307.5
2006-06-01,"Banks, Finance & Insurance",98362297051.75
2006-07-01,"Banks, Finance & Insurance",100820791441.5
2006-08-01,"Banks, Finance & Insurance",103249511002.25
2006-09-01,"Banks, Finance & Insurance",110197733352.25
2006-10-01,"Banks, Finance & Insurance",118521485539.25
2006-11-01,"Banks, Finance & Insurance",125112380132.5
2006-12-01,"Banks, Finance & Insurance",125110797361.5
2007-01-01,"Banks, Finance & Insurance",138033423881.5
2007-02-01,"Banks, Finance & Insurance",142266870831.75
2007-03-01,"Banks, Finance & Insurance",133479448663.0
2007-04-01,"Banks, Finance & Insurance",137354117890.25
2007-05-01,"Banks, Finance & Insurance",121655801777.0
2007-06-01,"Banks, Finance & Insurance",130848715668.0
2007-07-01,"Banks, Finance & Insurance",128398280457.25
2007-08-01,"Banks, Finance & Insurance",132977430724.25
2007-09-01,"Banks, Finance & Insurance",131795372991.25
2007-10-01,"Banks, Finance & Insurance",139547857365.25
2007-11-01,"Banks, Finance & Insurance",138890487278.75
2007-12-01,"Banks, Finance & Insurance",142158403207.5
2008-01-01,"Banks, Finance & Insurance",135552794769.0
2008-02-01,"Banks, Finance & Insurance",139889383770.75
2008-03-01,"Banks, Finance & Insurance",139617354433.25
2008-04-01,"Banks, Finance & Insurance",140802595176.5
2008-05-01,"Banks, Finance & Insurance",135796942305.75
2008-06-01,"Banks, Finance & Insurance",128184327273.5
2008-07-01,"Banks, Finance & Insurance",130915731361.5
2008-08-01,"Banks, Finance & Insurance",131697319593.25
2008-09-01,"Banks, Finance & Insurance",118826123545.0
2008-10-01,"Banks, Finance & Insurance",100267714609.5
2008-11-01,"Banks, Finance & Insurance",90367134644.0
2008-12-01,"Banks, Finance & Insurance",82049659845.25
2009-01-01,"Banks, Finance & Insurance",105960797180.75
2009-02-01,"Banks, Finance & Insurance",96842259478.75
2009-03-01,"Banks, Finance & Insurance",91989059524.75
2009-04-01,"Banks, Finance & Insurance",102160095884.0
2009-05-01,"Banks, Finance & Insurance",131053913115.75
2009-06-01,"Banks, Finance & Insurance",139694557108.0
2009-07-01,"Banks, Finance & Insurance",147354574428.0
2009-08-01,"Banks, Finance & Insurance",154284155210.75
2009-09-01,"Banks, Finance & Insurance",179062538014.25
2009-10-01,"Banks, Finance & Insurance",185450797854.5
2009-11-01,"Banks, Finance & Insurance",177475127062.75
2009-12-01,"Banks, Finance & Insurance",195325938193.0
